simulation: 1
Number: customer type: event: station: time: 
427, Corporate, Production complete, CSA Corporate 0 0, 30151.48361010287
430, Corporate, Creation, Source corporate, 29942.61133297596
430, Corporate, Production started, CSA Corporate 0 9, 29942.61133297596
430, Corporate, Production complete, CSA Corporate 0 9, 30204.564500827008
432, Corporate, Creation, Source corporate, 30065.402657273018
432, Corporate, Production started, CSA Corporate 0 1, 30065.402657273018
432, Corporate, Production complete, CSA Corporate 0 1, 30301.49713139969
435, Corporate, Creation, Source corporate, 30102.987463232173
435, Corporate, Production started, CSA Corporate 0 3, 30102.987463232173
435, Corporate, Production complete, CSA Corporate 0 3, 30330.289310897457
443, Corporate, Creation, Source corporate, 30099.23058732259
443, Corporate, Production started, CSA Corporate 0 7, 30099.23058732259
443, Corporate, Production complete, CSA Corporate 0 7, 30419.25456252031
445, Corporate, Creation, Source corporate, 30178.307734878585
445, Corporate, Production started, CSA Corporate 0 2, 30178.307734878585
445, Corporate, Production complete, CSA Corporate 0 2, 30533.385149282734
447, Corporate, Creation, Source corporate, 30362.32858661263
447, Corporate, Production started, CSA Corporate 0 5, 30362.32858661263
447, Corporate, Production complete, CSA Corporate 0 5, 30541.166613281515
452, Corporate, Creation, Source corporate, 30448.675558298237
452, Corporate, Production started, CSA Corporate 0 4, 30448.675558298237
452, Corporate, Production complete, CSA Corporate 0 4, 30575.567750254646
456, Corporate, Creation, Source corporate, 30558.582854977987
456, Corporate, Production started, CSA Corporate 0 8, 30558.582854977987
456, Corporate, Production complete, CSA Corporate 0 8, 30764.887262712957
458, Corporate, Creation, Source corporate, 30695.58713185995
458, Corporate, Production started, CSA Corporate 0 5, 30695.58713185995
458, Corporate, Production complete, CSA Corporate 0 5, 30874.552216334676
459, Corporate, Creation, Source corporate, 30783.102056760436
459, Corporate, Production started, CSA Corporate 0 0, 30783.102056760436
459, Corporate, Production complete, CSA Corporate 0 0, 30892.45448124636
462, Corporate, Creation, Source corporate, 30691.40411567346
462, Corporate, Production started, CSA Corporate 0 9, 30691.40411567346
462, Corporate, Production complete, CSA Corporate 0 9, 30908.339453598815
465, Corporate, Creation, Source corporate, 30771.444290835203
465, Corporate, Production started, CSA Corporate 0 1, 30771.444290835203
465, Corporate, Production complete, CSA Corporate 0 1, 30969.609240542315
466, Corporate, Creation, Source corporate, 30818.160836299507
466, Corporate, Production started, CSA Corporate 0 4, 30818.160836299507
466, Corporate, Production complete, CSA Corporate 0 4, 30977.697124960025
467, Corporate, Creation, Source corporate, 30801.485235022035
467, Corporate, Production started, CSA Corporate 0 2, 30801.485235022035
467, Corporate, Production complete, CSA Corporate 0 2, 30998.974102703167
469, Corporate, Creation, Source corporate, 30708.735239427886
469, Corporate, Production started, CSA Corporate 0 7, 30708.735239427886
469, Corporate, Production complete, CSA Corporate 0 7, 31031.374809591565
475, Corporate, Creation, Source corporate, 30961.073050647086
475, Corporate, Production started, CSA Corporate 0 6, 30961.073050647086
475, Corporate, Production complete, CSA Corporate 0 6, 31170.632917013238
482, Corporate, Creation, Source corporate, 31006.58245657508
482, Corporate, Production started, CSA Corporate 0 8, 31006.58245657508
482, Corporate, Production complete, CSA Corporate 0 8, 31316.765367495856
488, Corporate, Creation, Source corporate, 31354.621823233905
488, Corporate, Production started, CSA Corporate 0 2, 31354.621823233905
488, Corporate, Production complete, CSA Corporate 0 2, 31512.032478108096
491, Corporate, Creation, Source corporate, 31319.557236237924
